tab	specimens																																																																																									
contribution_id	row_id	specimen	sample	experiments	volume	weight	igsn	igsn_parent	synthetic_alternatives	result_quality	method_codes	citations	meas_temp	meas_orient_theta	meas_orient_phi	azimuth	dip	critical_temp_type	critical_temp_mineral	critical_temp	critical_temp_low	critical_temp_high	hyst_loop	hyst_ms_mass	hyst_mr_mass	hyst_bcr	hyst_bc	hyst_xhf	mineral_type	description	hyst_bc_offset	instrument_codes	rem_hirm_mass	rem_sratio	rem_sratio_forward	rem_sratio_back	aniso_type	aniso_s	aniso_s_n_measurements	aniso_l	aniso_f	aniso_p	aniso_t																																															
		ferrofluid_APG 512A-1	FerroTec APG 512A		1.00E-07	4.71E-05			FerroTec APG 512A	g	LP-MASS:LP-VOL	This Study																	maghemite																																																													
		magnetite_BangsLabs_11-nm 01	magnetite_BangsLabs_11-nm		2.50E-07	3.62E-07			magnetite_BangsLabs_11-nm	g	LP-MASS:LP-VOL	This Study																	magnetite																																																													
>>>>>>>>>>																																																																																										
tab	samples																																																																																									
sample	site	azimuth	dip	lat	lon	height	description	citations																																																																																		
FerroTec APG 512A	RMB FerroTec APG 512A							This Study																																																																																		
magnetite_BangsLabs_11-nm	RMB magnetite_BangsLabs_11-nm																																																																																									
>>>>>>>>>>																																																																																										
tab	sites																																																																																									
site	location	lat	lon	elevation	description	citations																																																																																				
RMB FerroTec APG 512A	RMB nanophases					This Study																																																																																				
RMB magnetite_BangsLabs_11-nm	RMB nanophases					This Study																																																																																				
>>>>>>>>>>																																																																																										
tab	locations																																																																																									
location	lat_s	lon_w	lat_n	lon_e	description	citations																																																																																				
RMB nanophases						This Study																																																																																				
>>>>>>>>>>																																																																																										
tab	measurements																																																																																									
contribution_id	row_id	measurement	experiment	specimen	sequence	standard	quality	method_codes	instrument_codes	display_order	result_type	citations	treat_temp	treat_temp_decay_rate	treat_temp_dc_on	treat_temp_dc_off	treat_ac_field	treat_ac_field_decay_rate	treat_ac_field_dc_on	treat_ac_field_dc_off	treat_dc_field	treat_dc_field_decay_rate	treat_dc_field_ac_on	treat_dc_field_ac_off	treat_dc_field_theta	treat_dc_field_phi	treat_mw_power	treat_mw_time	treat_mw_integral	treat_mw_step	treat_step_num	meas_pos_x	meas_pos_y	meas_pos_z	meas_orient_theta	meas_orient_phi	meas_n_orient	meas_temp	meas_temp_change	meas_freq	meas_duration	meas_field_ac	meas_field_ac_theta	meas_field_ac_phi	meas_field_dc	meas_field_dc_theta	meas_field_dc_phi	inversion_height	inversion_residuals	magn_moment	magn_x	magn_x_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	magn_xyz_sigma	magn_induction	magn_b_x	magn_b_x_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_b_111	magn_b_111_sigma	magn_b_xyz_sigma	magn_r2_det	dir_dec	dir_inc	dir_csd	magn_volume	magn_mass	magn_uncal	aniso_type	aniso_s	hyst_loop	hyst_sweep_rate	hyst_charging_mode	susc_chi_volume	susc_chi_mass	susc_chi_qdr_volume	susc_chi_qdr_mass	description	timestamp	software_packages	files	external_database_ids	derived_value	analysts
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-1	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	1	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										20		1		3.00E-04																																							1.22E-03		4.06E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-2	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	2	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										20		5.62		3.00E-04																																							1.17E-03		3.76E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-3	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	3	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										20		31.59		3.00E-04																																							1.13E-03		3.42E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-4	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	4	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										20		177.56		3.00E-04																																							1.10E-03		3.10E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-5	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	5	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										20		997.34		3.00E-04																																							1.05E-03		2.50E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-6	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	6	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										30		1		3.00E-04																																							1.52E-03		7.36E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-7	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	7	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										30		5.62		3.00E-04																																							1.44E-03		6.77E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-8	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	8	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										30		31.59		3.00E-04																																							1.36E-03		6.08E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-9	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	9	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										30		177.56		3.00E-04																																							1.30E-03		5.66E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-10	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	10	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										30		997.34		3.00E-04																																							1.24E-03		4.54E-05		2016-04-15T14:55:59.000-05:00					
		IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390-10390-11	IRM-OldBlue-LP-X:LP-X-T:LP-X-F-10390	magnetite_BangsLabs_11-nm 01	11	u	g	LP-X:LP-X-T:LP-X-F	IRM-OldBlue			This study																										40		1		3.00E-04																																							1.89E-03		1.12E-04		2016-04-15T14:55:59.000-05:00					
